,Beijing,Tianjin,Shijiazhuang,Taiyuan,Hulunbuir,Shenyang,Changchun,Harbin,Shanghai,Nanjing,Hangzhou,Hefei,Xiamen,Nanchang,Qingdao,Zhengzhou,Wuhan,Changsha,Guangzhou,Guilin,Sanya,Chongqing,Chengdu,Guiyang,Kunming,Lijiang,Lhasa,Xian,Lanzhou,Xining,Yinchuan,Ürümqi
Beijing,0,54.5,128.5,197,1112,1060,795,707,457,420,410,414,630,500,360,630,590,730,900,930,1200,890,910,1194,1170,1440,1291,528,905,995,710,1850
Tianjin,54.5,0,122.5,300,1100,1100,400,580,380,680,400,310,551,680,420,341,450,560,840,725,869,600,830,860,1140,1220,1123,360,770,910,480,1600
Shijiazhuang,128.5,122.5,0,68,1410,490,500,996,560,369,449,240,640,360,715,189.5,739,350,830,600,1139,580,818,840,1240,1460,1119,350,600,910,310,1780
Taiyuan,197,405,68,0,1130,565,850,695,660,565,735,350,720,400,610,310,105,157,915,740,1119,590,670,690,975,1210,1300,540,408,790,230,1410
Hulunbuir,1000,1000,1092,905,0,730,1155,585,900,1125,1250,940,1541,1108,1360,934,970,1197,1540,1270,1500,1150,1200,1350,1850,2070,2595,941,1064,770,450,1660
Shenyang,1060,840,320,560,840,0,144.5,247,780,769,839,480,830,560,567,480,720,950,1069,1112,1300,880,890,1120,1437,1527,1882,1219,1140,1270,662,2940
Changchun,650,353,376,630,1459,144.5,0,73.5,686,779,1020,595,1360,620,780,792,1070,880,1509,950,1370,1004,1208,1000,1400,1620,1400,1145,1060,1850,1270,1400
Harbin,725,580,679,600,860,247,73.5,0,1135,940,998,760,1230,990,962,780,1110,1100,1569,1130,1260,1220,1440,1230,1450,1860,1750,1350,1060,1497,822,2040
Shanghai,450,331,520,530,1490,780,784,960,0,139.5,73,970,487,380,497,530,380,500,660,470,860,568,870,740,916,1445,1540,560,850,1190,677,1940
Nanjing,420,750,400,435,1270,570,760,859,139.5,0,142,67,422,298,570,420,880,390,610,610,830,580,746,618,1028,1386,1600,400,785,1275,740,1950
Hangzhou,440,430,530,600,1910,650,960,1118,73,142,0,162,370,261,560,398,348,400,550,535,784,670,860,598,950,1108,1130,595,1050,1900,605,1650
Hefei,470,380,240,360,1169,414,770,800,370,67,162,0,380,620,540,443,133.5,790,499,440,670,408,700,690,820,1435,1300,510,800,930,500,1920
Xiamen,750,551,550,590,1760,810,1480,1050,418,480,360,370,0,610,460,640,420,470,540,650,950,810,970,600,881,1069,1490,910,900,1350,1050,1790
Nanchang,595,680,440,400,1700,680,810,950,380,298,261,760,420,0,540,310,105,157,439,340,711,610,920,448,750,1130,1070,570,769,860,615,2960
Qingdao,350,310,870,322,1190,590,762,760,385,418,530,790,650,324,0,350,680,780,840,664,1035,680,1070,870,970,1300,1440,810,860,1280,540,1960
Zhengzhou,810,341,189.5,440,1257,474,760,780,447,680,420,500,650,440,440,0,184,790,690,417,1040,530,660,529,975,1520,1390,665,510,850,520,1410
Wuhan,580,450,880,105,1384,710,856,1000,360,700,350,133.5,420,105,850,184,0,164.6,520,343.5,910,400,760,490,810,990,2093,700,1110,1700,800,1460
Changsha,795,575,482,157,1599,820,1215,1029,527,350,500,790,620,157,780,729,164.5,0,489,568,919,440,758,309,699,1028,1669,590,920,1200,1040,2120
Guangzhou,1040,799,740,920,2200,1129,1780,1819,580,580,550,499,580,490,949,709,540,419,0,554,509,590,700,529,680,1085,1230,780,1049,1320,1040,1819
Guilin,930,690,770,800,1747,800,1130,1135,470,490,610,440,690,235,910,355,343.5,438,520,0,890,500,680,153,770,1610,1400,500,878,1040,790,1630
Sanya,795,830,709,809,2140,1240,1400,946,610,760,818,658,1010,670,1140,709,850,670,525,500,0,780,889,690,960,1340,1530,815,1250,1440,1080,2040
Chongqing,830,641,540,530,1810,980,1200,1240,650,520,660,410,819,610,830,476,320,410,600,440,1070,0,96,809,630,720,808,340,658,730,420,1230
Chengdu,928,895,630,608,1840,978,1260,1478,960,950,998,770,990,800,1080,610,630,688,825,790,1148,96,0,407,720,1020,840,460,820,1150,910,1370
Guiyang,1130,790,510,590,1560,800,1220,1300,644,600,598,580,670,448,870,450,690,309,469,153,797,849,380,0,370,420,1200,490,700,1050,510,1470
Kunming,1260,975,1182,733,1910,1290,1290,1555,920,900,980,700,884,670,790,700,379,550,780,430,1410,580,529,398,0,280,1330,800,970,810,705,2294
Lijiang,1449,1240,1150,1240,3321,1490,1740,1860,1605,1450,1298,1180,1219,1487,1380,1075,745,900,1446,808,1340,840,749,420,520,0,1610,905,960,1935,1160,1755
Lhasa,1681,1400,1446,1468,3830,1900,2120,2279,1539,1000,1510,1750,1930,1557,1740,1360,1400,2140,2930,1360,2320,977,860,1600,1360,1610,0,1190,1390,860,1625,1700
Xian,470,391,332,530,1100,720,920,1270,620,450,445,370,1000,510,720,668,440,520,750,795,950,408,370,440,860,1025,780,0,378,590,300,1240
Lanzhou,715,655,452,605,1367,1510,1120,1190,630,730,800,680,1150,669,960,500,810,690,1109,1115,1210,540,620,700,825,804,1002,329,0,58,725,910
Xining,820,950,831,600,770,1160,2180,1627,810,820,900,840,1120,980,880,580,1390,960,1098,1170,1350,680,1190,910,1060,1750,638,520,58,0,500,840
Yinchuan,587,550,310,220,410,662,1808,660,690,660,660,450,870,440,660,360,430,1040,1040,740,1200,400,790,810,778,1360,1420,250,590,550,0,1128
Ürümqi,1205,1155,1390,1100,1317,2320,1520,1480,1423,1570,1620,1700,1530,2370,1810,950,1460,1300,1819,1415,1730,1350,1400,1369,1610,2050,1440,810,690,550,760,0